#Transcript position	Transcript coverage profile
0.0	0.5554326415416139
1.0	0.572184031995675
2.0	0.5987621597059629
3.0	0.6552243857247156
4.0	0.5640272299215932
5.0	0.5200485327847879
6.0	0.43343949410207394
7.0	0.3764765135314787
8.0	0.45185716415731514
9.0	0.5467539681186632
10.0	0.6406022308173653
11.0	0.5552922603568158
12.0	0.646927804268993
13.0	0.7205864407074505
14.0	0.6780749742312417
15.0	0.6269740645333651
16.0	0.5971096711525645
17.0	0.6199307306855932
18.0	0.5899004755780156
19.0	0.6191574352978512
20.0	0.6036401140080186
21.0	0.5737241126986937
22.0	0.5458324554981031
23.0	0.4490958871513001
24.0	0.4567694053398426
25.0	0.6169830937180203
26.0	0.5656625023712474
27.0	0.40010972433844066
28.0	0.38841111715265436
29.0	0.5826102066540341
30.0	0.6476437994885703
31.0	0.6085119420456064
32.0	0.5547500658908895
33.0	0.514274479014558
34.0	0.5054754065192203
35.0	0.5426862608368693
36.0	0.5152363376922388
37.0	0.5523384527549321
38.0	0.6071012975150598
39.0	0.6620706792451616
40.0	0.7263308355600422
41.0	0.6954023200437431
42.0	0.666632464895336
43.0	0.7008262013518665
44.0	0.7123353684356543
45.0	0.6700994975086092
46.0	0.6388572545089292
47.0	0.6847220918038367
48.0	0.6836350172743852
49.0	0.6445211326416664
50.0	0.6885569656083459
51.0	0.6238080691014808
52.0	0.5931759970022554
53.0	0.7126221266521433
54.0	0.8329597595368485
55.0	0.8264356797995647
56.0	0.8038066983055135
57.0	0.8479094469593559
58.0	0.9114881080898539
59.0	0.8075718865984776
60.0	0.8427375166148736
61.0	0.8755719410518276
62.0	0.9113983434154763
63.0	0.9462479943193303
64.0	0.8656310306691697
65.0	0.8591237113110869
66.0	0.7482446836464475
67.0	0.7031165637055479
68.0	0.6738447220378089
69.0	0.6405810072365705
70.0	0.654020574264761
71.0	0.8082066046653203
72.0	0.8393831139549112
73.0	0.903433971937591
74.0	0.8246401965733696
75.0	0.7165118614922475
76.0	0.8442479775855385
77.0	0.9563374862511338
78.0	0.8437745438727597
79.0	0.8151163236789026
80.0	0.944402342962375
81.0	1.0898801630979196
82.0	1.1201631112961923
83.0	1.1347108020663208
84.0	1.0325796857993708
85.0	0.9302344227323158
86.0	1.0163283059912436
87.0	1.189449435290995
88.0	1.360836581245494
89.0	1.341950491546062
90.0	1.2375612651865064
91.0	1.1697960206522526
92.0	1.1642100289943444
93.0	1.250795868508001
94.0	1.3885292766868025
95.0	1.551009016855633
96.0	1.4543502205459258
97.0	1.0414225270313
98.0	0.860358310509218
99.0	0.47500051739596855
